Breed	Age	Gender	Weight	ExpectedWeight	PctOfExpected	Label	IsolationForest_Score	IsolationForest_Flag	
Brahman Cross	28	Female	233.4	233.1	100.1	Normal	0.0825	Normal	
Sindhi Cross	51	Male	373	367.8	101.4	Normal	0.0103	Normal	
Local Zebu	45	Female	241.3	249.4	96.8	Normal	0.1389	Normal	
Local Zebu	6	Female	47.6	59.2	80.4	Normal	0.0202	Normal	
Red Chittagong	10	Male	83.8	80.9	103.6	Normal	0.0317	Normal	
Holstein Cross	34	Female	285.5	300.2	95.1	Normal	0.0739	Normal	
Pabna	48	Female	287.7	281.6	102.2	Normal	0.1237	Normal	
Sindhi Cross	27	Female	168.4	194	86.8	Normal	0.0589	Normal	
Holstein Cross	48	Female	420.2	404.8	103.8	Normal	0.0504	Normal	
Local Zebu	14	Female	105.3	98.2	107.2	Normal	0.1263	Normal	
Sahiwal	12	Female	115.9	112.1	103.4	Normal	0.0748	Normal	
Sindhi Cross	58	Female	390	375.3	103.9	Normal	0.0491	Normal	
Pabna	18	Female	150.6	125.6	119.9	Normal	0.1132	Normal	
Brahman Cross	34	Male	316.7	301.5	105	Normal	0.0178	Normal	
Holstein Cross	43	Male	376.6	404.2	93.2	Normal	0.0459	Normal	
Local Zebu	49	Male	276.6	295.8	93.5	Normal	0.094	Normal	
Sahiwal	17	Male	147.9	157.3	94	Normal	0.0476	Normal	
Sindhi Cross	9	Female	89	88.6	100.5	Normal	0.0123	Normal	
Brahman Cross	61	Male	511.9	504.2	101.5	Normal	-0.0189	Flagged - Unusual, Needs Review	
Local Zebu	30	Female	165.4	176.2	93.9	Normal	0.14	Normal	
Sindhi Cross	39	Female	267	264.2	101.1	Normal	0.0651	Normal	
Local Zebu	56	Female	291.7	303	96.3	Normal	0.135	Normal	
Local Zebu	52	Male	302.7	311.8	97.1	Normal	0.0959	Normal	
Holstein Cross	67	Male	320.7	601.5	53.3	Underweight	0.0058	Normal	
Local Zebu	20	Male	126.4	140.2	90.2	Normal	0.0765	Normal	
Pabna	39	Male	238	258.3	92.1	Normal	0.0705	Normal	
Local Zebu	54	Female	278.6	293.2	95	Normal	0.1318	Normal	
Local Zebu	65	Male	397.4	381.6	104.1	Normal	0.051	Normal	
Brahman Cross	25	Female	198.4	212.6	93.3	Normal	0.0771	Normal	
Local Zebu	50	Female	313.2	273.8	114.4	Normal	0.1352	Normal	
Sahiwal	35	Female	261.5	254.1	102.9	Normal	0.1014	Normal	
Holstein Cross	59	Female	489.8	487	100.6	Normal	0.0326	Normal	
Sindhi Cross	36	Female	233.7	246.6	94.8	Normal	0.0685	Normal	
Sindhi Cross	10	Female	105	94.5	111.1	Normal	0.0245	Normal	
Holstein Cross	24	Male	239.3	247.9	96.5	Normal	0.0438	Normal	
Local Zebu	27	Female	163.5	161.6	101.2	Normal	0.141	Normal	
Local Zebu	60	Male	393.2	354.8	110.8	Normal	0.0686	Normal	
Local Zebu	24	Female	145.6	147	99	Normal	0.1452	Normal	
Sindhi Cross	14	Male	146.9	129.7	113.3	Normal	0.006	Normal	
Brahman Cross	41	Female	311.3	321.8	96.7	Normal	0.0704	Normal	
Local Zebu	72	Female	380.5	381	99.9	Normal	0.0515	Normal	
Local Zebu	18	Female	144.3	117.8	122.5	Overweight	0.1375	Normal	
Local Zebu	42	Female	225.3	234.8	96	Normal	0.1372	Normal	
Holstein Cross	39	Female	364.7	337.5	108.1	Normal	0.0596	Normal	
Brahman Cross	10	Male	131.9	121.3	108.7	Normal	0.0017	Normal	
Brahman Cross	57	Male	465.7	474.1	98.2	Normal	0.0069	Normal	
Red Chittagong	36	Male	220.5	211	104.5	Normal	0.0749	Normal	
Local Zebu	53	Male	331.8	317.2	104.6	Normal	0.095	Normal	
Red Chittagong	41	Female	223.9	214.6	104.3	Normal	0.1209	Normal	
Sahiwal	35	Male	256	279.5	91.6	Normal	0.0553	Normal	
Pabna	47	Male	293.1	304	96.4	Normal	0.0735	Normal	
Brahman Cross	30	Female	243	246.8	98.5	Normal	0.0812	Normal	
Red Chittagong	68	Female	336.3	337.4	99.7	Normal	0.077	Normal	
Holstein Cross	71	Female	586	576.7	101.6	Normal	-0.0344	Flagged - Possible Pregnancy or Overweight	
Sahiwal	57	Male	431.6	429	100.6	Normal	0.0335	Normal	
Holstein Cross	9	Male	104.6	124.6	83.9	Normal	0.0121	Normal	
Local Zebu	13	Male	108.4	102.7	105.6	Normal	0.0654	Normal	
Sindhi Cross	31	Male	248.2	239.1	103.8	Normal	0.021	Normal	
Pabna	21	Female	149.6	141.2	105.9	Normal	0.1207	Normal	
Pabna	63	Male	411.8	395.6	104.1	Normal	0.0422	Normal	
Brahman Cross	50	Male	434.1	421.6	103	Normal	0.0141	Normal	
Local Zebu	17	Male	131.1	124.2	105.6	Normal	0.08	Normal	
Local Zebu	33	Female	189.8	190.9	99.4	Normal	0.1373	Normal	
Brahman Cross	40	Female	290.1	315	92.1	Normal	0.074	Normal	
Holstein Cross	7	Female	104.8	98.3	106.6	Normal	0.0475	Normal	
Local Zebu	7	Male	73.7	70.5	104.5	Normal	0.0177	Normal	
Sindhi Cross	41	Female	279.9	275.8	101.5	Normal	0.0691	Normal	
Red Chittagong	38	Male	201.8	221	91.3	Normal	0.0657	Normal	
Pabna	56	Female	473.3	323.2	146.4	Overweight	0.0342	Normal	
Holstein Cross	42	Male	411.7	395.9	104	Normal	0.0306	Normal	
Local Zebu	41	Female	229.3	229.9	99.7	Normal	0.1376	Normal	
Local Zebu	44	Male	279.2	269	103.8	Normal	0.1007	Normal	
Local Zebu	13	Female	93.8	93.4	100.4	Normal	0.1179	Normal	
Brahman Cross	46	Female	356.4	356	100.1	Normal	0.073	Normal	
Brahman Cross	43	Male	383.1	369	103.8	Normal	0.0274	Normal	
Red Chittagong	10	Female	65.8	73.5	89.5	Normal	0.0531	Normal	
Holstein Cross	49	Female	413.7	412.3	100.3	Normal	0.0575	Normal	
Pabna	66	Female	368.3	375.2	98.2	Normal	0.0877	Normal	
Pabna	27	Female	165.9	172.4	96.2	Normal	0.1204	Normal	
Local Zebu	18	Female	113.1	117.8	96	Normal	0.1339	Normal	
Sahiwal	29	Female	220.4	217.1	101.5	Normal	0.103	Normal	
Brahman Cross	34	Female	266.9	274	97.4	Normal	0.0735	Normal	
Red Chittagong	48	Female	265.2	246.4	107.6	Normal	0.1179	Normal	
Pabna	21	Female	127.8	141.2	90.5	Normal	0.1158	Normal	
Brahman Cross	15	Female	141.6	144.4	98.1	Normal	0.0676	Normal	
Local Zebu	54	Female	286.7	293.2	97.8	Normal	0.135	Normal	
Holstein Cross	25	Male	277.9	256.2	108.5	Normal	0.0351	Normal	
Red Chittagong	64	Male	354.1	351.1	100.9	Normal	0.0418	Normal	
Local Zebu	16	Female	123.5	108	114.4	Normal	0.1339	Normal	
Local Zebu	13	Male	80.4	102.7	78.3	Underweight	0.0479	Normal	
Sahiwal	27	Female	208.7	204.7	102	Normal	0.1037	Normal	
Sahiwal	17	Male	170.6	157.3	108.5	Normal	0.0451	Normal	
Red Chittagong	60	Female	302.2	301	100.4	Normal	0.1029	Normal	
Local Zebu	31	Female	197.1	181.1	108.8	Normal	0.1446	Normal	
Sindhi Cross	30	Male	305.1	232.6	131.2	Overweight	0.0034	Normal	
Holstein Cross	45	Male	441.8	420.6	105	Normal	0.0202	Normal	
Brahman Cross	27	Male	400.7	248.9	161	Overweight	-0.0135	Flagged - Unusual, Needs Review	
Pabna	49	Female	281.4	286.8	98.1	Normal	0.121	Normal	
Local Zebu	68	Female	354.8	361.5	98.1	Normal	0.1032	Normal	
Sindhi Cross	57	Male	428.2	406.4	105.4	Normal	-0.0059	Flagged - Unusual, Needs Review	
Sindhi Cross	33	Female	252.7	229	110.3	Normal	0.0595	Normal	
Local Zebu	52	Female	275.7	283.5	97.2	Normal	0.1419	Normal	
Red Chittagong	38	Female	194.6	200.9	96.9	Normal	0.1121	Normal	
Brahman Cross	12	Female	119.7	123.9	96.6	Normal	0.0592	Normal	
Local Zebu	20	Female	107.3	127.5	84.2	Normal	0.1209	Normal	
Pabna	66	Female	361.4	375.2	96.3	Normal	0.0916	Normal	
Sahiwal	7	Male	74.3	89.3	83.2	Normal	-0.016	Flagged - Potential Sickness	
Brahman Cross	40	Female	303.5	315	96.3	Normal	0.072	Normal	
Red Chittagong	19	Female	113.9	114.4	99.6	Normal	0.1019	Normal	
Red Chittagong	19	Female	118	114.4	103.1	Normal	0.1037	Normal	
Sahiwal	72	Female	505.9	482.6	104.8	Normal	-0.0177	Flagged - Possible Pregnancy or Overweight	
Red Chittagong	26	Male	146	160.9	90.7	Normal	0.0667	Normal	
Local Zebu	67	Male	621.5	392.3	158.4	Overweight	-0.049	Flagged - Unusual, Needs Review	
Holstein Cross	69	Male	614.7	618	99.5	Normal	-0.0642	Flagged - Potential Sickness	
Pabna	18	Female	124.9	125.6	99.4	Normal	0.1145	Normal	
Pabna	43	Male	442.3	281.2	157.3	Overweight	0.0134	Normal	
Holstein Cross	52	Female	417.9	434.7	96.1	Normal	0.0562	Normal	
Sahiwal	18	Female	154.9	149.2	103.8	Normal	0.0946	Normal	
Local Zebu	23	Female	144.6	142.1	101.8	Normal	0.1441	Normal	
Red Chittagong	62	Female	317.5	310.1	102.4	Normal	0.1035	Normal	
Sahiwal	53	Female	369.6	365.3	101.2	Normal	0.0846	Normal	
Red Chittagong	64	Male	387.9	351.1	110.5	Normal	0.0409	Normal	
Holstein Cross	59	Female	477.5	487	98	Normal	0.0388	Normal	
Local Zebu	13	Female	85.4	93.4	91.4	Normal	0.1143	Normal	
Local Zebu	67	Female	347.3	356.6	97.4	Normal	0.108	Normal	
Local Zebu	54	Female	284.9	293.2	97.2	Normal	0.1333	Normal	
Holstein Cross	22	Female	200.9	210.4	95.5	Normal	0.0886	Normal	
Sindhi Cross	62	Male	456.4	438.6	104.1	Normal	-0.0094	Flagged - Unusual, Needs Review	
Red Chittagong	34	Female	204	182.7	111.7	Normal	0.1228	Normal	
Red Chittagong	72	Female	347	355.6	97.6	Normal	0.0421	Normal	
Pabna	37	Female	211.9	224.4	94.4	Normal	0.124	Normal	
Brahman Cross	25	Female	219.7	212.6	103.3	Normal	0.0806	Normal	
Sindhi Cross	12	Male	108.5	116.8	92.9	Normal	-0.0008	Flagged - Potential Sickness	
Pabna	66	Female	384.7	375.2	102.5	Normal	0.0848	Normal	
Local Zebu	68	Male	400.7	397.7	100.8	Normal	0.0403	Normal	
Local Zebu	70	Male	385.6	408.4	94.4	Normal	0.0263	Normal	
Red Chittagong	36	Male	234.2	211	111	Normal	0.0768	Normal	
Brahman Cross	17	Female	185	158	117.1	Normal	0.059	Normal	
Local Zebu	69	Female	180.9	366.4	49.4	Underweight	0.0396	Normal	
Pabna	17	Female	114.6	120.4	95.2	Normal	0.1111	Normal	
Brahman Cross	71	Female	530.9	526.6	100.8	Normal	-0.0199	Flagged - Possible Pregnancy or Overweight	
Pabna	49	Female	169.8	286.8	59.2	Underweight	0.0782	Normal	
Brahman Cross	66	Female	502.3	492.4	102	Normal	0.0143	Normal	
Pabna	18	Female	155.8	125.6	124	Overweight	0.1122	Normal	
Red Chittagong	43	Female	221	223.6	98.8	Normal	0.1216	Normal	
Local Zebu	27	Female	149.7	161.6	92.6	Normal	0.1384	Normal	
Sahiwal	58	Male	415.1	435.8	95.3	Normal	0.0354	Normal	
Local Zebu	56	Male	322.3	333.3	96.7	Normal	0.087	Normal	
Local Zebu	49	Male	295.3	295.8	99.8	Normal	0.0951	Normal	
Sindhi Cross	21	Female	185.8	158.8	117	Normal	0.0611	Normal	
Brahman Cross	70	Male	564	571.7	98.7	Normal	-0.0565	Flagged - Potential Sickness	
Pabna	12	Female	97.8	94.4	103.6	Normal	0.0916	Normal	
Brahman Cross	71	Female	526.3	526.6	99.9	Normal	-0.0162	Flagged - Potential Sickness	
Sahiwal	28	Female	228.7	210.9	108.4	Normal	0.1004	Normal	
Red Chittagong	47	Female	279.8	241.8	115.7	Normal	0.1203	Normal	
Sindhi Cross	37	Male	269.7	277.7	97.1	Normal	0.0234	Normal	
Sindhi Cross	63	Female	397.2	404.6	98.2	Normal	0.0534	Normal	
Brahman Cross	71	Male	594.9	579.2	102.7	Normal	-0.0683	Flagged - Unusual, Needs Review	
Holstein Cross	33	Male	332.2	321.9	103.2	Normal	0.0326	Normal	
Red Chittagong	50	Female	283.2	255.5	110.8	Normal	0.1166	Normal	
Sahiwal	28	Female	219.7	210.9	104.2	Normal	0.1012	Normal	
Red Chittagong	20	Female	113.6	119	95.5	Normal	0.0979	Normal	
Brahman Cross	59	Female	453.5	444.7	102	Normal	0.0368	Normal	
Pabna	60	Female	360.6	344	104.8	Normal	0.1024	Normal	
Local Zebu	24	Male	111.6	161.7	69	Underweight	0.0598	Normal	
Sindhi Cross	38	Male	291.7	284.1	102.7	Normal	0.0212	Normal	
Sahiwal	32	Female	333.5	235.6	141.6	Overweight	0.0612	Normal	
Holstein Cross	34	Female	317.7	300.2	105.8	Normal	0.0629	Normal	
Local Zebu	42	Female	146.9	234.8	62.6	Underweight	0.1072	Normal	
Sahiwal	46	Female	448.2	322	139.2	Overweight	0.0269	Normal	
Holstein Cross	62	Female	506.9	509.4	99.5	Normal	0.0291	Normal	
Sahiwal	53	Female	367.5	365.3	100.6	Normal	0.0847	Normal	
Brahman Cross	30	Male	289.5	271.4	106.7	Normal	0.0208	Normal	
Sahiwal	29	Female	204.8	217.1	94.3	Normal	0.1078	Normal	
Local Zebu	11	Female	89.2	83.6	106.7	Normal	0.1144	Normal	
Local Zebu	38	Male	230.9	236.8	97.5	Normal	0.0895	Normal	
Sindhi Cross	11	Male	110.8	110.4	100.4	Normal	0	Normal	
Local Zebu	44	Female	263.7	244.5	107.9	Normal	0.1405	Normal	
Red Chittagong	46	Female	240.2	237.3	101.2	Normal	0.1211	Normal	
Pabna	70	Male	436.3	435.6	100.2	Normal	0.0018	Normal	
Red Chittagong	50	Male	260.7	281	92.8	Normal	0.064	Normal	
Red Chittagong	52	Male	302.3	291.1	103.8	Normal	0.0738	Normal	
Brahman Cross	66	Female	502.1	492.4	102	Normal	0.0143	Normal	
Sindhi Cross	7	Male	117.1	84.6	138.4	Overweight	-0.0226	Flagged - Unusual, Needs Review	
Local Zebu	37	Female	205.8	210.4	97.8	Normal	0.1403	Normal	
Red Chittagong	20	Female	122.3	119	102.8	Normal	0.1019	Normal	
Red Chittagong	72	Female	359.3	355.6	101	Normal	0.0429	Normal	
Holstein Cross	63	Female	540.6	516.9	104.6	Normal	0.0097	Normal	
Brahman Cross	47	Female	361.3	362.8	99.6	Normal	0.0726	Normal	
Local Zebu	6	Female	63.4	59.2	107.1	Normal	0.0523	Normal	
Brahman Cross	33	Female	276.3	267.2	103.4	Normal	0.0692	Normal	
Local Zebu	61	Female	330.2	327.4	100.9	Normal	0.1286	Normal	
Sahiwal	25	Male	204.9	211.6	96.8	Normal	0.0559	Normal	
Local Zebu	15	Male	116.3	113.4	102.6	Normal	0.0697	Normal	
Brahman Cross	35	Female	297	280.9	105.7	Normal	0.0606	Normal	
Pabna	57	Female	448.8	328.4	136.7	Overweight	0.0511	Normal	
Brahman Cross	14	Female	139.5	137.6	101.4	Normal	0.0659	Normal	
Sahiwal	15	Female	120.1	130.6	92	Normal	0.085	Normal	
Red Chittagong	44	Female	246.1	228.2	107.8	Normal	0.1256	Normal	
Sindhi Cross	54	Female	329.1	351.9	93.5	Normal	0.056	Normal	
Pabna	34	Male	221.3	229.7	96.3	Normal	0.0682	Normal	
Sahiwal	43	Female	309.2	303.5	101.9	Normal	0.0968	Normal	
Brahman Cross	53	Female	570.5	403.7	141.3	Overweight	-0.0202	Flagged - Possible Pregnancy or Overweight	
Local Zebu	56	Female	302	303	99.7	Normal	0.1363	Normal	
Red Chittagong	50	Male	272.7	281	97	Normal	0.068	Normal	
Holstein Cross	24	Male	276.2	247.9	111.4	Normal	0.0333	Normal	
Holstein Cross	30	Male	275.6	297.3	92.7	Normal	0.0424	Normal	
Brahman Cross	12	Female	90.9	123.9	73.4	Underweight	0.047	Normal	
Sindhi Cross	65	Female	422.9	416.2	101.6	Normal	0.0469	Normal	
Brahman Cross	38	Male	324	331.5	97.7	Normal	0.0219	Normal	
Pabna	48	Female	266.3	281.6	94.6	Normal	0.1215	Normal	
Local Zebu	42	Female	245.4	234.8	104.5	Normal	0.1411	Normal	
Red Chittagong	63	Male	349.8	346.1	101.1	Normal	0.0417	Normal	
Sahiwal	25	Female	183.9	192.4	95.6	Normal	0.1078	Normal	
Red Chittagong	60	Male	311.9	331.1	94.2	Normal	0.049	Normal	
Sahiwal	61	Male	469.2	456.1	102.9	Normal	0.0163	Normal	
Brahman Cross	48	Female	379.4	369.6	102.7	Normal	0.0673	Normal	
Red Chittagong	45	Female	231.3	232.7	99.4	Normal	0.1224	Normal	
Brahman Cross	16	Female	178.9	151.2	118.3	Normal	0.0597	Normal	
Local Zebu	31	Male	183.2	199.2	92	Normal	0.0849	Normal	
Local Zebu	15	Female	80.2	103.1	77.8	Underweight	0.1093	Normal	
Brahman Cross	57	Female	420.6	431	97.6	Normal	0.0483	Normal	
Local Zebu	39	Female	219.4	220.1	99.7	Normal	0.1367	Normal	
Pabna	25	Female	165.7	162	102.3	Normal	0.1255	Normal	
Sahiwal	43	Male	330.3	333.9	98.9	Normal	0.0439	Normal	
Local Zebu	52	Female	288.8	283.5	101.9	Normal	0.1429	Normal	
Holstein Cross	27	Female	229.1	247.8	92.5	Normal	0.0852	Normal	
Local Zebu	24	Female	168.7	147	114.8	Normal	0.1404	Normal	
Red Chittagong	34	Female	181.5	182.7	99.3	Normal	0.1175	Normal	
Local Zebu	35	Male	237.4	220.7	107.6	Normal	0.0924	Normal	
Sindhi Cross	52	Female	345.3	340.2	101.5	Normal	0.0532	Normal	
Sindhi Cross	11	Female	107.2	100.4	106.8	Normal	0.0326	Normal	
Sahiwal	72	Female	491.1	482.6	101.8	Normal	-0.0129	Flagged - Possible Pregnancy or Overweight	
Sahiwal	28	Female	217.6	210.9	103.2	Normal	0.1012	Normal	
Brahman Cross	15	Female	154	144.4	106.6	Normal	0.0686	Normal	
Sindhi Cross	72	Female	477.1	457.2	104.4	Normal	-0.0245	Flagged - Possible Pregnancy or Overweight	
Red Chittagong	67	Female	473.5	332.8	142.3	Overweight	0.0333	Normal	
Local Zebu	71	Female	386.8	376.1	102.8	Normal	0.0604	Normal	
Local Zebu	52	Female	282.2	283.5	99.5	Normal	0.1419	Normal	
Brahman Cross	59	Female	466.3	444.7	104.9	Normal	0.0337	Normal	
Pabna	67	Female	370.3	380.4	97.3	Normal	0.0828	Normal	
Brahman Cross	58	Male	681.7	481.6	141.5	Overweight	-0.0739	Flagged - Unusual, Needs Review	
Brahman Cross	11	Female	116.5	117.1	99.5	Normal	0.0535	Normal	
Local Zebu	29	Female	149.9	171.4	87.5	Normal	0.1364	Normal	
Sindhi Cross	8	Female	84.7	82.8	102.3	Normal	0.0068	Normal	
Holstein Cross	16	Male	171.9	182.2	94.3	Normal	0.0339	Normal	
Pabna	67	Male	431	418.4	103	Normal	0.0264	Normal	
Brahman Cross	29	Female	230.1	239.9	95.9	Normal	0.0811	Normal	
Local Zebu	49	Female	262.2	268.9	97.5	Normal	0.1358	Normal	
Local Zebu	54	Female	264.9	293.2	90.3	Normal	0.1283	Normal	
Local Zebu	70	Female	364.5	371.2	98.2	Normal	0.0768	Normal	
Brahman Cross	28	Female	196.7	233.1	84.4	Normal	0.0808	Normal	
Local Zebu	70	Female	347.5	371.2	93.6	Normal	0.0813	Normal	
Brahman Cross	6	Female	94.4	83	113.7	Normal	0.0124	Normal	
Brahman Cross	72	Female	545.2	533.4	102.2	Normal	-0.0341	Flagged - Possible Pregnancy or Overweight	
Sahiwal	60	Male	455.7	449.4	101.4	Normal	0.0268	Normal	
Sahiwal	54	Female	356.9	371.4	96.1	Normal	0.0868	Normal	
Sindhi Cross	18	Female	140.6	141.3	99.5	Normal	0.056	Normal	
Sahiwal	16	Male	150.4	150.5	99.9	Normal	0.0452	Normal	
Red Chittagong	30	Male	163.6	181	90.4	Normal	0.0677	Normal	
Local Zebu	72	Male	650.2	419.1	155.1	Overweight	-0.0777	Flagged - Unusual, Needs Review	
Red Chittagong	52	Male	304.2	291.1	104.5	Normal	0.0746	Normal	
Brahman Cross	39	Female	304.9	308.2	98.9	Normal	0.0704	Normal	
Red Chittagong	41	Female	215	214.6	100.2	Normal	0.1181	Normal	
Local Zebu	67	Male	395.4	392.3	100.8	Normal	0.0481	Normal	
Pabna	45	Female	235.4	266	88.5	Normal	0.1199	Normal	
Red Chittagong	23	Female	128.9	132.6	97.2	Normal	0.1042	Normal	
Sahiwal	63	Female	416.8	427	97.6	Normal	0.0731	Normal	
Local Zebu	71	Female	361.1	376.1	96	Normal	0.0711	Normal	
Brahman Cross	12	Male	132.1	136.3	96.9	Normal	0.012	Normal	
Local Zebu	17	Female	139.8	112.9	123.8	Overweight	0.1361	Normal	
Brahman Cross	17	Male	183.4	173.8	105.5	Normal	0.0159	Normal	
Local Zebu	10	Female	70.2	78.8	89.1	Normal	0.091	Normal	
Red Chittagong	72	Male	399.7	391.2	102.2	Normal	-0.0036	Flagged - Unusual, Needs Review	
Local Zebu	28	Female	187.5	166.5	112.6	Normal	0.1431	Normal	
Local Zebu	72	Male	618.7	419.1	147.6	Overweight	-0.0712	Flagged - Unusual, Needs Review	
Local Zebu	27	Female	162.5	161.6	100.6	Normal	0.1411	Normal	
Brahman Cross	26	Male	231.7	241.4	96	Normal	0.0305	Normal	
Red Chittagong	56	Female	293.3	282.8	103.7	Normal	0.1109	Normal	
Local Zebu	14	Female	104.2	98.2	106.1	Normal	0.1263	Normal	
Sahiwal	50	Male	394.9	381.4	103.5	Normal	0.0352	Normal	
Local Zebu	30	Female	185.8	176.2	105.4	Normal	0.1441	Normal	
Local Zebu	28	Female	182.2	166.5	109.4	Normal	0.1418	Normal	
Local Zebu	43	Male	255.6	263.6	97	Normal	0.0965	Normal	
Pabna	38	Female	249.4	229.6	108.6	Normal	0.1194	Normal	
Brahman Cross	62	Female	468.1	465.2	100.6	Normal	0.0314	Normal	
Sahiwal	49	Female	371.7	340.6	109.1	Normal	0.0769	Normal	
Pabna	9	Female	68.5	78.8	86.9	Normal	0.0642	Normal	
Red Chittagong	34	Female	208.7	182.7	114.2	Normal	0.1229	Normal	
Red Chittagong	51	Female	358.2	260	137.8	Overweight	0.0952	Normal	
Local Zebu	49	Male	286	295.8	96.7	Normal	0.0964	Normal	
Pabna	51	Male	319.7	326.9	97.8	Normal	0.0742	Normal	
Local Zebu	30	Female	171.4	176.2	97.3	Normal	0.1414	Normal	
Sahiwal	39	Male	313.1	306.7	102.1	Normal	0.0476	Normal	
Local Zebu	51	Male	314.3	306.5	102.5	Normal	0.0963	Normal	
Sindhi Cross	69	Female	431	439.6	98	Normal	0.0274	Normal	
Pabna	11	Female	88.8	89.2	99.6	Normal	0.0899	Normal	
Red Chittagong	41	Female	246.7	214.6	115	Normal	0.1235	Normal	
Sindhi Cross	41	Female	301.8	275.8	109.4	Normal	0.0631	Normal	
Local Zebu	60	Female	329	322.5	102	Normal	0.1317	Normal	
Pabna	56	Female	323.8	323.2	100.2	Normal	0.1166	Normal	
Pabna	21	Female	143	141.2	101.3	Normal	0.1186	Normal	
Sahiwal	7	Female	90.4	81.2	111.3	Normal	0.038	Normal	
Local Zebu	52	Female	268.2	283.5	94.6	Normal	0.1415	Normal	
Pabna	36	Male	237.3	241.1	98.4	Normal	0.0708	Normal	
Red Chittagong	29	Female	134.9	160	84.3	Normal	0.0951	Normal	
Sahiwal	53	Female	371.3	365.3	101.6	Normal	0.0844	Normal	
Pabna	22	Female	156.1	146.4	106.6	Normal	0.1216	Normal	
Holstein Cross	40	Female	337.8	345	97.9	Normal	0.0763	Normal	
Holstein Cross	31	Male	329.1	305.5	107.7	Normal	0.0295	Normal	
Local Zebu	7	Male	52.2	70.5	74	Underweight	-0.004	Flagged - Potential Sickness	
Sindhi Cross	72	Female	435.2	457.2	95.2	Normal	-0.0006	Flagged - Potential Sickness	
Pabna	38	Female	233	229.6	101.5	Normal	0.1243	Normal	
Red Chittagong	26	Male	176.6	160.9	109.8	Normal	0.0761	Normal	
Pabna	18	Female	150.9	125.6	120.1	Overweight	0.1132	Normal	
Red Chittagong	38	Male	214.1	221	96.9	Normal	0.0702	Normal	
Red Chittagong	31	Female	185.2	169	109.6	Normal	0.1211	Normal	
Pabna	42	Female	249.8	250.4	99.8	Normal	0.1261	Normal	
Pabna	63	Female	357	359.6	99.3	Normal	0.1022	Normal	
Red Chittagong	24	Female	150.5	137.2	109.7	Normal	0.1139	Normal	
Sindhi Cross	59	Female	390.9	381.2	102.5	Normal	0.0526	Normal	
Holstein Cross	15	Male	150.3	173.9	86.4	Normal	0.0339	Normal	
Red Chittagong	43	Female	245.8	223.6	109.9	Normal	0.1267	Normal	
Red Chittagong	62	Female	330.8	310.1	106.7	Normal	0.1009	Normal	
Sahiwal	72	Female	473.2	482.6	98.1	Normal	0.0001	Normal	
Local Zebu	8	Male	81.8	75.9	107.8	Normal	0.0361	Normal	
Local Zebu	16	Male	126.2	118.8	106.2	Normal	0.0733	Normal	
Local Zebu	66	Female	226.8	351.8	64.5	Underweight	0.0722	Normal	
Local Zebu	39	Female	211.9	220.1	96.3	Normal	0.1363	Normal	
Sindhi Cross	55	Male	383.5	393.5	97.5	Normal	0.0077	Normal	
Red Chittagong	22	Male	140.5	140.9	99.7	Normal	0.0639	Normal	
Local Zebu	51	Female	296.2	278.6	106.3	Normal	0.1393	Normal	
Pabna	40	Female	248.2	240	103.4	Normal	0.1214	Normal	
Sindhi Cross	28	Female	194.2	199.8	97.2	Normal	0.0656	Normal	
Sahiwal	61	Female	426.3	414.7	102.8	Normal	0.0646	Normal	
Red Chittagong	50	Female	212.8	255.5	83.3	Normal	0.096	Normal	
Local Zebu	45	Female	266.6	249.4	106.9	Normal	0.141	Normal	
Red Chittagong	6	Female	29.2	55.3	52.8	Underweight	-0.0117	Flagged - Potential Sickness	
Local Zebu	42	Female	352.4	234.8	150.1	Overweight	0.0981	Normal	
Pabna	7	Female	51.6	68.4	75.4	Underweight	0.0229	Normal	
Brahman Cross	6	Female	63.5	83	76.5	Underweight	-0.0089	Flagged - Potential Sickness	
Sindhi Cross	61	Female	410.3	392.8	104.5	Normal	0.0492	Normal	
Sahiwal	55	Female	370.6	377.6	98.1	Normal	0.0842	Normal	
Local Zebu	36	Female	210.7	205.5	102.5	Normal	0.141	Normal	
Brahman Cross	40	Male	345.8	346.5	99.8	Normal	0.0223	Normal	
Holstein Cross	58	Male	534.7	527.5	101.4	Normal	-0.0131	Flagged - Unusual, Needs Review	
Local Zebu	20	Female	128.7	127.5	100.9	Normal	0.1376	Normal	
Local Zebu	68	Male	225.6	397.7	56.7	Underweight	0.0115	Normal	
Local Zebu	19	Male	149.8	134.9	111	Normal	0.0854	Normal	
Pabna	7	Male	67.8	75.2	90.2	Normal	-0.0024	Flagged - Potential Sickness	
Pabna	49	Female	263.5	286.8	91.9	Normal	0.1181	Normal	
Pabna	53	Female	301.2	307.6	97.9	Normal	0.1177	Normal	
Red Chittagong	24	Male	173.4	150.9	114.9	Normal	0.0742	Normal	
Local Zebu	66	Male	399.7	386.9	103.3	Normal	0.0498	Normal	
Local Zebu	54	Female	288	293.2	98.2	Normal	0.1355	Normal	
Sahiwal	37	Female	261.2	266.5	98	Normal	0.1004	Normal	
Local Zebu	10	Male	81.8	86.6	94.5	Normal	0.0461	Normal	
Local Zebu	32	Female	217.2	186	116.8	Normal	0.1383	Normal	
Red Chittagong	47	Male	271.8	266	102.2	Normal	0.0713	Normal	
